statename,rank,countryd,val2010,val2011,val2012,val2013,share10,share11,share12,share13,change
DELAWARE,8,Germany,367.68,331.25,287.81,301,3.7803,2.7224,2.123,2.973,4.58
DELAWARE,9,Netherlands,64.8,170.1,438.88,288.74,0.6662,1.398,3.2373,2.852,-34.21
DELAWARE,10,Mexico,61.98,85.1,232.6,243.94,0.6372,0.6995,1.7157,2.4094,4.88
DELAWARE,11,Costa Rica,256.21,232.06,216.65,219.67,2.6343,1.9072,1.5981,2.1698,1.4
DELAWARE,12,Chile,78.22,125.13,200.86,198.22,0.8042,1.0284,1.4816,1.9579,-1.32
DELAWARE,13,Iraq,0,475.69,1010.41,178.01,0,3.9096,7.4531,1.7583,-82.38
DELAWARE,14,Australia,66.38,119.73,158.46,142.81,0.6825,0.984,1.1688,1.4105,-9.88
DELAWARE,15,Singapore,28.06,126.29,141.79,133.15,0.2885,1.0379,1.0459,1.3152,-6.09
DELAWARE,16,Turkey,45.43,57.2,125.63,127.5,0.4671,0.4701,0.9267,1.2594,1.49
DELAWARE,17,South Africa,6.31,13.38,36.56,126.97,0.0649,0.11,0.2697,1.2541,247.31
DELAWARE,18,Poland,1.7,5.35,46.16,126.71,0.0174,0.044,0.3405,1.2515,174.51
DELAWARE,19,Honduras,71.2,86.67,102.1,107.79,0.7321,0.7123,0.7531,1.0647,5.58
DELAWARE,20,Algeria,0,30.4,152.88,101.67,0,0.2498,1.1277,1.0042,-33.5
DELAWARE,21,Guatemala,60.64,62.02,61.12,100.94,0.6235,0.5097,0.4509,0.997,65.14
DELAWARE,22,Italy,112.18,80.86,63.59,94.41,1.1534,0.6646,0.4691,0.9325,48.46
DELAWARE,23,Japan,102.2,119.3,99.4,90.38,1.0508,0.9805,0.7332,0.8927,-9.07
DELAWARE,24,Colombia,70.16,364.96,344.11,79.01,0.7213,2.9995,2.5382,0.7804,-77.04
DELAWARE,25,Angola,0,142.87,256.37,73.46,0,1.1742,1.891,0.7256,-71.34
DISTRICT OF COLUMBIA,0,World,667.03,444.27,446.87,611.76,0.0349,0.0201,0.0196,0.027,36.9
DISTRICT OF COLUMBIA,0,Top 25,612.64,411.02,401.57,578.79,91.8452,92.5159,89.861,94.6118,44.13
DISTRICT OF COLUMBIA,1,Canada,69.85,64.57,62.92,133.65,10.4716,14.5333,14.0798,21.8464,112.41
DISTRICT OF COLUMBIA,2,Germany,30.47,26.38,54.95,54.6,4.568,5.9373,12.2973,8.9246,-0.65
DISTRICT OF COLUMBIA,3,France,41.74,51.57,39.58,53.2,6.2577,11.6071,8.8575,8.6967,34.41
DISTRICT OF COLUMBIA,4,United Kingdom,69.44,28.23,27.91,52.36,10.411,6.3544,6.2456,8.5582,87.59
DISTRICT OF COLUMBIA,5,Qatar,7.29,0,3.29,48.25,1.0926,0.0011,0.7359,7.8878,1367.31
